freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FC_OTH_HH_E,E7000,TJ,UA	: 	: 	: 	: 	: 	: 	129301.596 	126148.284 	129405.614 	126849.600 	: 	: 
A,FC_OTH_HH_E,E7000,TJ,UK	427795.031 	401711.105 	412785.450 	408284.899 	389073.960 	387949.853 	388890.155 	379324.444 	378232.369 	: 	: 	: 
A,FC_OTH_HH_E,E7000,TJ,XK	: 	: 	: 	: 	: 	: 	: 	8247.463 	8479.948 	9100.667 	9999.716 	12034.804 
A,FC_OTH_HH_E,G3000,TJ,AT	65468.974 	58178.113 	59220.172 	59831.004 	52399.369 	56839.082 	62819.067 	61496.238 	56280.632 	59719.332 	59595.886 	68409.986 
A,FC_OTH_HH_E,G3000,TJ,BA	: 	: 	: 	: 	1125.000 	1388.700 	1446.300 	1581.300 	1506.600 	1622.700 	1700.100 	1933.200 
A,FC_OTH_HH_E,G3000,TJ,BE	: 	: 	: 	: 	: 	: 	139922.370 	136854.180 	136646.190 	135497.430 	128153.700 	150198.210 
A,FC_OTH_HH_E,G3000,TJ,BG	2065.000 	2343.000 	2237.000 	1882.000 	1892.000 	2166.751 	2465.827 	2849.706 	3235.574 	3297.805 	4022.204 	4748.810 
A,FC_OTH_HH_E,G3000,TJ,CZ	: 	: 	: 	: 	: 	74918.700 	83471.400 	83923.201 	78663.398 	75169.282 	77706.762 	87152.054 
A,FC_OTH_HH_E,G3000,TJ,DE	1000926.000 	827226.900 	905134.500 	942415.199 	766105.200 	826425.901 	924967.800 	904274.339 	932189.676 	936985.822 	910447.655 	1052063.203 
A,FC_OTH_HH_E,G3000,TJ,DK	: 	: 	: 	: 	: 	25174.000 	25997.000 	24813.000 	25751.260 	25782.459 	24787.410 	24245.889 
A,FC_OTH_HH_E,G3000,TJ,EA20	: 	: 	: 	: 	: 	: 	: 	: 	2885839.811 	2852887.490 	2779793.004 	3088072.597 
A,FC_OTH_HH_E,G3000,TJ,EE	2298.599 	2163.600 	2316.600 	2188.800 	2186.100 	2064.600 	2422.799 	2314.801 	2302.506 	2418.192 	2353.500 	2524.499 
A,FC_OTH_HH_E,G3000,TJ,EL	: 	: 	: 	9731.700 	: 	14892.300 	13778.190 	15100.309 	13872.060 	16093.043 	18505.287 	20905.124 
A,FC_OTH_HH_E,G3000,TJ,ES	178266.115 	142856.965 	146938.300 	133708.347 	129554.078 	138918.861 	139632.543 	139148.717 	152980.187 	144741.612 	145465.593 	152171.999 
A,FC_OTH_HH_E,G3000,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	3367728.439 	3332122.746 	3288476.447 	3670178.024 
A,FC_OTH_HH_E,G3000,TJ,FI	: 	: 	: 	: 	: 	1100.700 	1122.300 	1098.000 	1026.000 	1116.000 	1002.600 	1172.700 
A,FC_OTH_HH_E,G3000,TJ,FR	580746.600 	531564.233 	588483.122 	607400.316 	453886.749 	488743.172 	528808.971 	513756.246 	483506.662 	475744.382 	450215.324 	494902.650 
A,FC_OTH_HH_E,G3000,TJ,GE	: 	: 	: 	: 	: 	: 	27923.400 	31164.155 	30259.270 	34778.903 	39562.397 	44994.510 
A,FC_OTH_HH_E,G3000,TJ,HR	25042.480 	22872.394 	21490.944 	20482.814 	18151.967 	18687.309 	19505.400 	20060.070 	19561.208 	19221.736 	20333.496 	21945.000 
A,FC_OTH_HH_E,G3000,TJ,HU	: 	: 	: 	: 	: 	109579.116 	117792.899 	124419.599 	118510.000 	116933.000 	126720.000 	139394.000 
A,FC_OTH_HH_E,G3000,TJ,IE	: 	: 	: 	: 	: 	23194.401 	23523.511 	23210.468 	25240.967 	24708.785 	24642.001 	24860.809 
A,FC_OTH_HH_E,G3000,TJ,IT	: 	: 	: 	: 	: 	711151.200 	715836.600 	722667.264 	690796.485 	675190.385 	667065.957 	704953.962 
A,FC_OTH_HH_E,G3000,TJ,LT	: 	: 	: 	: 	: 	: 	: 	6437.700 	6898.500 	6733.890 	7299.990 	9206.910 
